handle,text
SenatorShaheen,I can't find the words for the horror and pain affected families must be experiencing. My thoughts are with them and the Uvalde community. The mass shootings status quo in America cannot stand. We need common sense gun laws now. 
SenatorShaheen,I’m leading a bipartisan letter w/ @SenThomTillis &amp; 80 Senators urging @POTUS to expedite Sweden &amp; Finland’s applications to join NATO.Expanding membership will bolster NATO’s military &amp; diplomatic capabilities as Russia threatens global security amid its invasion of Ukraine. 
SenatorShaheen,Housing insecurity is one of the most pressing challenges facing veterans. Expanding access to affordable secure housing has always been a top priority of mine &amp; I’ll keep working with frontline orgs like Harbor Care to make sure our veterans have the support they need. 
SenatorShaheen,Testing is an important step you can take to protect yourself and others as NH sees another surge in COVID cases. U.S. residents can still order 8 free at-home testing kits! Visit  to get yours.
SenatorShaheen,I’ve proudly been on this list since 2017. Glad to be in such good – and growing – company.  
SenatorShaheen,🚨 $18.6M is heading to NH to update aging water systems! I helped secure this $$ in the FY22 government funding bill because every Granite State family deserves safe &amp; reliable drinking water.
SenatorShaheen,Tens of thousands of families across NH &amp; New England are hurting w/ shortages around formula. Time is of the essence – I’m leading a letter to Abbott’s CEO urging relief around burdensome contracts to ensure access in our region. More here: 
SenatorShaheen,I wrote an op-ed in the @UnionLeader about what’s at stake for women’s freedoms in NH if Roe is overturned.Women deserve full autonomy on decisions around their bodies &amp; starting families – we must fight against this dangerous anti-women agenda.
SenatorShaheen,As co-chair of the Senate NATO Observer Group I’m proud of the continued bipartisan work in Congress to bolster the Alliance including this new res in support of Finland &amp; Sweden’s accession into NATO. I urge lawmakers to ratify their accession &amp; for NATO Allies to do the same. 
SenatorShaheen,The bipartisan infrastructure law invests in the transition to clean low- &amp; zero-emission school buses which will improve the health &amp; safety for our communities. School districts &amp; other eligible operators can now apply. More info ⬇️
SenatorShaheen,NH Families visit @HHSGov for resources to locate infant formula. Please follow public health guidance and contact your child’s health care provider for feeding recommendations as homemade formula and other alternatives can have dangerous consequences. 
SenatorShaheen,Congrats to Lebanon’s Angela Zhang for being named social worker of the year by the NH chapter of @NASW. The Granite State is grateful for your commitment to advocating for families with limited access to resources &amp; services across the Upper Valley. 
SenatorShaheen,I was honored to join the 30th Annual New Hampshire Fallen Law Enforcement Officers Memorial Ceremony in Concord today. This ceremony pays tribute to Granite Staters who’ve bravely fought to defend our country including those who made the ultimate sacrifice. 
SenatorShaheen,Thanks @DrGupta46 for stopping by NH to discuss expanding access to life-saving substance use prevention &amp; treatment programs. I appreciate @ONDCP’s partnership to turn the tide on this devastating crisis especially as we come out of the pandemic. 
SenatorShaheen,Wishing my dear friend @RepAnnieKuster a speedy recovery. 
SenatorShaheen,May is National #DrugCourtMonth. Drug Court programs help combat the substance use disorder crisis by expanding access to life-saving treatment programs.We can’t jail our way out of this public health crisis which is why I’ve proudly helped secure $$ to support these programs.
SenatorShaheen,Putin has a delusional agenda to reconstitute a Russian empire and the U.S. must support countries like Moldova. To our partners in Moldova heroically responding to aid their neighbors: thank you.🇲🇩
SenatorShaheen,Moldova is punching above its weight in response to Putin’s invasion of Ukraine accepting 100k refugees or 16% of its population. In recognition of their inspiring response I’m proud to join a res encouraging @SecBlinken to provide them aid for their efforts. 
SenatorShaheen,The formula shortage crisis is hitting working families hard with each day that passes.We need a federal coordinator in place to address production bottlenecks &amp; prevent future contamination of baby formula – glad to join this effort w/ @PattyMurray and @SenBobCasey. 
SenatorShaheen,I asked @SecGranholm how the admin is addressing these national security &amp; energy threats as we work toward new tech &amp; clean energy solutions for the future.
SenatorShaheen,Putin’s unprovoked war in Ukraine underscores the urgent need for the U.S. to work with our European allies to secure energy independence from Russian oil &amp; gas. 
SenatorShaheen,After three months the U.S Embassy in Kyiv has reopened – an important signal of Ukraine’s progress in defending its territory &amp; the United States’ unwavering support for its mission.Great to see the U.S. flag flying over the embassy once again.
SenatorShaheen,The Senate unanimously passed bipartisan legislation to increase access to baby formula amid serious shortages. I’m proud to cosponsor this bill to help millions of families on WIC get the nutrition they need for their children. Looking forward to @POTUS signing this into law. 
SenatorShaheen,Yesterday I met with Kosovo’s PM @albinkurti w/ @SenThomTillis. Kosovo’s relations with the U.S. are strong and they are an important ally in rebuffing Putin’s campaign of malign influence across the Balkans region. Proud to support Kosovo and their Euro-Atlantic aspirations. 
SenatorShaheen,Restaurants &amp; small businesses are still reeling from the economic impacts of COVID – assistance is needed to help them stay afloat.Disappointed the Senate wouldn’t act today to support these local institutions that create jobs &amp; drive local economic growth. 
SenatorShaheen,This emergency military &amp; humanitarian aid is long overdue &amp; will make a real difference for millions of Ukrainians under siege. The U.S. must continue to stand w/ Ukraine in the fight to defend its sovereignty &amp; democracy around world.  
SenatorShaheen,NEW: Over $28M is heading to NH to combat the substance use disorder crisis. For years State Opioid Response grants have helped deliver treatment to Granite Staters in need which is why I pushed against funding cliffs for NH. More here: 
SenatorShaheen,This is only a snapshot of what this law means for NH. Granite Staters will soon see the impacts of this law in their neighborhoods and on their way to work which is precisely what delivering this legislation was all about.
SenatorShaheen,🧹 $4M in Brownfields remediation to address contamination &amp; redevelop sites 🏠 $18M to help homes weatherize increasing energy efficiency &amp; lowering heating &amp; cooling costs ✈️$9M to support NH airports
SenatorShaheen,🚰 Over $72M for water infrastructure improvements to support safe drinking water &amp; combat PFAS contamination 🛣️ $218M for our highways &amp; $45M for repairs to red-list bridges  🚌 $24M to bolster public transportation systems
SenatorShaheen,It’s been 6 months since the bipartisan infrastructure package was signed into law! As a lead negotiator of this once-in-a-generation investment I’m thrilled that $400M has already been announced for NH – with much more on its way. Take a look at this law’s impact on NH ⬇️:
SenatorShaheen,This confirmation couldn’t come at a more important time as Russian forces intensify their invasion in Ukraine and the Kyiv embassy reopens. I’ve been pushing for a U.S. ambassador to be placed in Kyiv for months and I look forward to working w/ Brink during this critical time. 
SenatorShaheen,Wonderful to celebrate 57 years of @HeadStartgov today! I’ll keep working to fight for the resources Head Start needs to continue its transformative work providing young children with the tools &amp; opportunities they need to succeed.
SenatorShaheen,I'm honored to accept the Water Droplet award from the @NAWCH2O. I proudly co-led on water infrastructure provisions in the bipartisan infrastructure law b/c every American deserves clean drinking water. I’ll keep working to improve water quality &amp; affordability. 
SenatorShaheen,This is a huge victory! Women athletes deserve equal pay – congrats to all of the women athletes whose advocacy made this possible. Both on and off the field we should have equal pay for equal work. 
SenatorShaheen,This move by Lukashenka is clearly intended to intimidate pro-democracy advocates. Labeling legitimate political speech as “terrorism” &amp; threatening political dissidents &amp; citizens in Belarus with the death penalty is the act of a cowardly dictator who must be held to account. 
SenatorShaheen,Excited that 3 critical bills I lead to support small businesses cleared a key committee hurdle today. From expanding broadband to investing in cyber training &amp; guidance on federal rules these bills will help small businesses become resilient &amp; thrive. 
