handle,text
CongressmanHice,Please join me in praying for the Uvalde TX community the innocent lives lost to this senseless violence and the victims' families.
CongressmanHice,🚨📺: Joining @stinchfield1776 on @newsmax at 8:15 PM EST!👇 Watch here! 
CongressmanHice,What do the border crisis and infant formula crisis have in common?A Biden presidency. 
CongressmanHice,📺: Joining my friend @RobFinnertyUSA on @newsmax at 7:05 am EST!👇 Watch here 
CongressmanHice,A federal judge just blocked the Biden Administration from lifting Title 42!They NEVER had a plan in place to address the HISTORIC number of migrants that would flood the southern border.This is a HUGE win for our national security!
CongressmanHice,👀👀👀 
CongressmanHice,American mothers can’t find formula for their babies.The solution from the DC Democrats? Throw away $28 million on salaries for federal bureaucrats. 
CongressmanHice, 
CongressmanHice,Okay now visit the southern border. 
CongressmanHice,It's time for Joe to take responsibility! 
CongressmanHice,The Constitution guarantees all Americans have certain unalienable rights that no one can strip away.Like life liberty and the pursuit of happiness.Abortion denies unborn babies of their God-given constitutional rights. 
CongressmanHice,
CongressmanHice,Dow-mocrats Just like the stock market Dems are spiraling downward and out of control! Both are the direct result of the Democrats' destructive policies! 
CongressmanHice,Happy birthday @HeadStartgov! 
CongressmanHice,Border crossings are at a record high... for the 2nd month in a row.Gas prices hit a record high... yet again.Stocks down 4%... in one day.Yep you did it Joe. 
CongressmanHice,Inflation IS taxation! 
CongressmanHice,This is an absolute assault on objective truth right wrong and science. 
CongressmanHice,"Broke: ""I'm not a biologist.""Woke: ""I believe that everyone can identify for themselves."" "
CongressmanHice,Make American Gas Affordable Again!
CongressmanHice,Democrats in their deranged hysteria over Trump weaponized the power of impeachment for purely partisan purposes.The 1st impeachment? A hoax based on outright lies. The 2nd impeachment? A theatrical sham.👇 I'm proud to join @RepMullin's resolution. 
