handle,text
RepCori,"I’ve had to choose between feeding my kids and keeping the lights on. No family should ever face that choice.
@RepBowman &amp; I introduced the Public Power Resolution to recognize basic utility services as a right. We must prioritize basic needs over corporate profits."
RepCori,https://t.co/xwqZ6RFAnp
RepCori,"The case for cancelling student debt is one of justice. Student loans are a crisis looming over millions of Americans, particularly Black and brown Americans. The time for relief is now.
Cancel it. All of it. https://t.co/nScKj4RPMP"
RepCori,"Proud to see @POTUS invoke the Defense Production Act to invest in renewable energy.
Now Congress must pass my Energy Security and Independence Act with @SenSanders &amp; @RepJasonCrow to fund this effort, lower energy prices, create jobs, and fight the climate crisis. https://t.co/wRDcp5JhHp"
RepCori,"Senate inaction is costing lives. The House passed H.R. 8, the Bipartisan Background Checks Act, 452 days ago.
The longer the Senate waits, the more preventable deaths will occur. Our communities cannot afford to stall any longer. https://t.co/3MCEppPoE8"
RepCori,"St. Louis, did you know your zip code can play a significant role in your air quality, water quality, and overall quality of life?

My + @SenMarkey’s Environmental Justice Mapping and Data Collection Act would help direct funds to areas that need it most.
https://t.co/ngp04z8XNh"
RepCori,"Already in 2022, there have been more shootings than we’ve had days in the year.

Gun violence is an epidemic in America.

This #GunViolenceAwarenessDay, I’m looking at the United States Senate to step up and save lives."
RepCori,"Medicare for All.
Green New Deal.
Guaranteed housing.

Our communities deserve it all."
RepCori,"It’s been over 100 days since Brittney Griner was detained in Russia.

The White House must prioritize her immediate and safe return home.

Black women, especially Black LGBTQ+ people, deserve to be seen and protected.
https://t.co/YCHYdADYqU"
RepCori,".@Amazon is trying to ban words like “restrooms,” “slave labor,” &amp; “union” from employees’ chats to bust unions.

Their track record of inhumane treatment, worker surveillance &amp; union busting must not be tolerated.

@SenWarren &amp; I have questions.
https://t.co/T5w5FtDZfa"
RepCori,"6 human beings, including 2 St. Louis residents, died in December at an Amazon warehouse when workers felt they could not leave work in the middle of a tornado and keep their jobs.

Amazon must answer for its negligence.
https://t.co/IDE3gOCzQB"
RepCori,"Weapons of war have no place in our schools.

They have no place in our supermarkets, our places of worship, our movie theaters, or public parks either.

@HouseJudiciary isn’t waiting another minute to act. https://t.co/cnayCpTGW7"
RepCori,"Happy #PrideMonth, St. Louis!

Your Congresswoman loves you ❤️️🧡💛💚💙💜"
