handle,text
RepDavids,Harnessing the power of our local manufacturers not only improves our supply chain but also lowers costs and reduces inflation.Logistics Park KC and @jocogov's short line railroad are doing this work right here at home. Thanks for the tour today! 
RepDavids,Last night I hosted a Mental Health Resource Fair to highlight the important work of our community partners &amp; health experts.Even though #MentalHealthAwarenessMonth is coming to an end I’ll continue advocating for increased access to mental health care because it saves lives. 
RepDavids,Rising gas prices are hurting folks who rely on a vehicle to make their living. I’m asking the IRS to adjust the mileage deduction and give small business owners and independent contractors a break.
RepDavids,"This weekend I had the privilege of helping dedicate a ""Never Forget Garden"" in Overland Park in honor of our veterans.I cannot wait for folks both young and old to visit this space and honor the heroes in our community. "
RepDavids,Congratulations to all #KS03 students who are graduating this year - from Pre-K K-12 and college!Good luck in your next chapter. I can’t wait to see where it takes you!
RepDavids,Last week I met some friends on the Capitol steps!GEAR Up helps Wyandotte County high school students prepare for higher education. Proud to support our amazing Kansas schools and future leaders! @CEOPmedia 
RepDavids,On #ArmedForcesDay we recognize folks who are currently serving or have served in all branches of our country's armed forces putting their own lives at risk so we can live our lives freely.Thank you for your dedication and sacrifice.
RepDavids,Celebrating #BikeToWorkDay today? Soon you will be able to ride along the federally-funded 6th Street Bike Trail!Thanks for joining me to test it out @mayor_tyrone and @BikeWalkKC! 
RepDavids,I know lots of families are concerned about the baby formula shortage. See our new email update for resources that may help and for an update on how I'm pushing for progress:  
RepDavids,This is why I supported the bipartisan infrastructure law - to help projects like Johnson County’s Nelson Wastewater to:👷create jobs in #KS03🚿deliver cleaner safer water💵save Kansans money on their water bill
RepDavids,It’s a fact: students enrolled in Head Start are healthier have better social skills and are more likely to graduate high school.57 years after the program's creation I’m thankful to support #KS03 families through programs like Growing Futures @tfckc @kckschools and more. 
RepDavids,Last week we started negotiations on a major bipartisan package to boost American manufacturing reduce inflation and stand up to China.Glad to work across the aisle to create a future that’s made in Kansas.
RepDavids,It's been six months since we passed the bipartisan infrastructure law and it's already bringing jobs and opportunity to our community.Good to see the Greater KC Chamber this week and share how I'm working to make #KS03 an even stronger place to start and grow a business! 
