handle,text
RepBonamici,"The Domestic Terrorism Prevention Act will provide greater resources and a renewed directive to monitor, investigate, and prosecute cases of domestic terrorism. Congress must address the distressing rise in homegrown mass violence. (2/2)"
RepBonamici,"As recent tragic events remind us, domestic terrorism remains a serious threat to our communities. This is especially true for communities from historically marginalized groups. (1/2)"
RepBonamici,Full press release here: https://t.co/GTBSQdGKYG
RepBonamici,"I am pleased to reintroduce the Alan Reinstein Ban Asbestos Now Act with @SenJeffMerkley to protect workers and families by finally banning the importation, manufacture, and distribution of asbestos."
RepBonamici,It is long past time for the United States to ban asbestos. It is unacceptable that this known carcinogen continues to threaten our communities.
RepBonamici,It would also require higher education institutions to give clear information about their learning accommodations. 3/3
RepBonamici,"Currently, students with disabilities are frequently required to get expensive new evaluations before they can access special education services. My bill will allow students to use existing documentation of disability to access support services on campus. 2/3"
RepBonamici,"Before bills can get a vote on the floor, they go through the committee process. Today the @EdLaborCmte moved my bipartisan RISE Act legislation forward in as part of the Mental Health Matters Act. RISE will help ease the transition to college for students with disabilities. 1/3 https://t.co/qkU4HsRaYg"
RepBonamici,"Equal work deserves equal pay, whether you sell concessions in the stands or play on the pitch. Congrats to the @USWNT on their historic contract win! I look forward to seeing the team continue to dominate the international field and inspire the world with their activism. https://t.co/XlH8ERv7sA"
RepBonamici,"You can order more free COVID-19 test kits! After filling out this short form, USPS will ship 8 free test kits to your mailbox. https://t.co/BViUnr8t8v"
RepBonamici,"By easing non-safety related regulations, WIC can help provide proper nutrition to our underserved and low-income families during this infant formula shortage."
RepBonamici,It’s hard to see so many families struggle to find formula and feed their babies. Today I will help the House pass a bill to grant emergency authority to the WIC program so it can address supply chain disruptions and recalls. #FeedOurInfants https://t.co/phiodeUz6H
RepBonamici,"Today we celebrate the 57th anniversary of #HeadStart! Millions of children and their families have benefitted from this important anti-poverty program, and it’s on us to make sure Head Start has the support it needs to serve all children in need in our community. https://t.co/rK7LwUtJW4"
RepBonamici,"Our state has been leading the effort to electrify our transportation system, and this funding will help move us to a better, greener future."
RepBonamici,"Oregon will receive $52 million over the next 5 years to support the expansion of EV charging stations across the state, along with the opportunity to apply for $2.5 billion in EV charging grant funding."
RepBonamici,"6 months ago, @POTUS signed the Bipartisan Infrastructure Law. This historic investment, championed by our very own @RepPeterDefazio, will allow us to repair our aging roads and bridges, improve transit, expand broadband internet, and more."
RepBonamici,"I've long advocated for the updates included in this legislation, which will foster more partnerships like Oregon's OMIC, increase access to supportive tools like child care, and expand apprenticeships and pre-apprenticeships."
RepBonamici,Workforce development programs have the power to change lives and strengthen our local economies. Today I helped the House pass this important update to the Workforce Innovation &amp; Opportunity Act. https://t.co/YPPWXacgXW
RepBonamici,"This is good news for families with infants. Other countries apply the same rigorous testing and standards for infant formula as the FDA, and importing these safe formulas should help address our current shortage. https://t.co/FJAI1wXna0"
RepBonamici,"To put the best interest of children first, we must focus on prevention and get the juvenile justice system the resources it needs."
RepBonamici,The juvenile justice system &amp; congregate care centers are falling short of their intended purpose: to focus on the best interests of youth by rehabilitating and reintegrating rather than punishing them. https://t.co/MShnCvoSHr
RepBonamici,"Happy American Craft Beer Week! Whether you’re on the north coast or in the metro area, there’s no shortage of great craft brews in NW Oregon🍻"
RepBonamici,"I also support immediate action to improve hate crime data collection, as well as policies to better monitor domestic extremism &amp; combat white supremacy. (2/2)"
RepBonamici,Every policymaker – at every level and from any party – must denounce white supremacy and the horrific attack on the people of Buffalo. This tragedy is another reminder that we must reckon with our country’s racist history. (1/2)
RepBonamici,"As my friend the late Congressman John Lewis said, “the scars and stains of racism are still deeply embedded in the American society.”"
RepBonamici,"The mass shooting that happened in Buffalo is tragic, and my heart goes out to the family and friends of the victims. This massacre is especially troubling because it appears that the shooter has far-right racist white replacement conspiracy beliefs.
https://t.co/qh9t0NgurX"
RepBonamici,ICYMI: https://t.co/P430kyEowv
RepBonamici,"During the pandemic, I led the effort for additional funding for important programs like long-term care advocates and Meals on Wheels, and I’m a strong supporter of making healthcare affordable and lowering the cost of prescription drugs."
RepBonamici,May is #OlderAmericansMonth and I wish seniors in NW Oregon and the rest of the country good health and joy. In Congress I’m advocating for the policies and investments our seniors need to age with dignity.
RepBonamici,"In Oregon, we’re familiar with wind farms along the Gorge. But did you know that wind energy can also be generated off the coast? When responsibly done, offshore wind is an important step to #BuildingABetterGrid. https://t.co/ESMQP4GyLC"
RepBonamici,"If your family qualifies for the Child Tax Credit and still hasn’t received payments, visit https://t.co/o0XNj7DE6r. This free portal is designed for families who don’t have to file taxes and it’s available in English and Spanish. https://t.co/INr3wJvYbp"
RepBonamici,"No one should feel embarrassed or ashamed to reach out. During #MentalHealthAwarenessMonth, let’s be kind to each other and to ourselves.

If you need help, call @Lines_for_Life at 800-273-8255 (or 800-923-4357 for non-crisis calls)"
RepBonamici,"For too long mental health has been secondary to physical health, even though both contribute to a person's overall well-being. Mental health issues must be treated with the same care, compassion, and understanding as a broken bone or cancer diagnosis. #MentalHealthMatters https://t.co/zUI7SA3gTp"
RepBonamici,Learn more here: https://t.co/cq79stI6xX
RepBonamici,Great news: the House just passed bipartisan legislation I wrote with @CongressmanGT to modernize the Community Services Block Grant program! This will empower local anti-poverty programs to better meet the unique needs of our communities. https://t.co/LVzliUmxP0
RepBonamici,"Millions of families &amp; individuals across the U.S. will benefit from my bipartisan update to the CSBG program, which the House is voting on today. This critical update will increase financial stability &amp; help people access housing, child care, utilities, employment, &amp; services. https://t.co/0KhyzMMfDQ"
RepBonamici,Full press release here: https://t.co/GGkAEIktN6
RepBonamici,"Congratulations to Sophia and Chloe, and thank you to all the students who submitted art this year!"
RepBonamici,"Sophia's art will be displayed in the U.S. Capitol for 1 year. Chloe Peck, from @BeavertonHigh, earned an honorable mention. Chloe's art will be on display in my district office in Beaverton. https://t.co/NiVMOHSowP"
RepBonamici,"It’s always inspiring to see the wonderful art and meet the talented student artists who participate in the Congressional Art Competition. I’m happy to announce that Sophia Gard, from @jesuitHighPDX, won the 2022 Congressional Art Competition for OR-1. https://t.co/vNOzezrJtw"
RepBonamici,More information here: https://t.co/68ap0Jf0yS
RepBonamici,"Secure Rural Schools Act funding is a lifeline for our rural communities, and I have long been an advocate for the program. The almost $1.5 million going to counties in NW Oregon will help support schools, roads, and public services. https://t.co/6pT1JheaiI"
RepBonamici,"We had our introductory meeting this morning, in which I advocated for clean energy R&amp;D, U.S. manufacturing, workforce, climate action, and CHIPS funding to grow our semiconductor industry. (2/2)"
RepBonamici,"As the Representative from the “silicon forest” in NW Oregon, I am grateful to serve on the Bipartisan Innovation Act Conference Committee. (1/2) https://t.co/W8tpSCgsJa"
RepBonamici,"I will continue to advocate for funding for COVID testing, vaccination, and research."
RepBonamici,Today we mark a tragic milestone: 1 million lives lost to COVID-19 in the U.S. Each one of those deaths is one too many. I offer my thoughts and condolences to all the families whose loved ones have passed away from this horrible disease.
RepBonamici,"No provider, doctor, or person seeking care should ever be criminalized for providing basic healthcare services. I’m joining @RepNikema and my House colleagues on this important resolution. https://t.co/n9AKzxZRkQ"
