handle,text
RepDeborahRoss,"The Raleigh to Richmond rail line is exactly the kind of 21st century infrastructure our community has been waiting for. It will connect North Carolina to other states in cleaner, more reliable way.
 
Proud to work with @RepDavidEPrice and my NC colleagues to make this happen. https://t.co/RviSlVfsqr"
RepDeborahRoss,"Tune in as my @RulesDemocrats colleagues and I discuss gun safety legislation that will raise the purchasing age for semi-automatic weapons, close the ghost gun loophole, strengthen safe storage requirements, and more. https://t.co/YJPwwOl1io"
RepDeborahRoss,"Well if you want to make this biblical, there are examples of powerful women leading throughout the Bible, including my namesake who was a strong leader and an influential judge.

But religion aside, women belong in every place where decisions are made. End of story. https://t.co/uj5kjuk5NS"
RepDeborahRoss,"As Roe v. Wade hangs in the balance, Republican legislatures are dead set on turning the clock back 50 years.

Women's reproductive freedom is on the line, and we must protect abortion access in all 50 states. https://t.co/6udR7w8ObI"
RepDeborahRoss,Very proud to represent the Cheese-Rolling World Champion 🤩 https://t.co/jZZ80nFg35
RepDeborahRoss,"Ten years - that's how long North Carolinians have been waiting for the healthcare they deserve.

I'm glad the NC Senate has passed a bill to expand Medicaid and I hope the House follows suit. https://t.co/6aIezDj6nT"
RepDeborahRoss,"More communities are mourning loved ones lost to gun violence this weekend.

I'm coming back to Washington this week to vote for the Protecting Our Kids Act. It's time to prevent these tragedies. https://t.co/yDxS1w3ClT"
RepDeborahRoss,"The Raleigh to Richmond high speed rail line will better connect Wake County and NC to the rest of the region and the country. 

We have talked about this rail line for years, and I'm excited to see this federal grant that will make it a reality. https://t.co/3owCo6lokW"
RepDeborahRoss,"A week after one of the most horrific shootings, we are marking #GunViolenceAwarenessDay. We cannot follow this tragedy with empty words and hollow promises.

It's time to act. Now."
RepDeborahRoss,"When will our Republican colleagues say enough is enough? When will they feel the weight of these tragedies?

21 innocent lives were taken in Uvalde, Texas, and we have the power and the duty to act. https://t.co/Tb0AstlrPJ"
RepDeborahRoss,"Gun violence is an epidemic plaguing our schools, churches, and grocery stores. We cannot sit idly by as it worsens.

The American people are counting on us in Congress to act. Yet my GOP colleagues on @HouseJudiciary are opposing our efforts to do that."
RepDeborahRoss,"Today my @HouseJudiciary colleagues and I are considering the Protecting Our Kids Act, a package of commonsense legislation to reduce the persistent gun violence that has torn apart families and communities.

Inaction is not an option. https://t.co/ySGsofDLs8"
RepDeborahRoss,"Happy Pride Month! I'm so proud to represent such a diverse LGBTQ+ community in Wake County. In Congress, I'm committed to ensuring everyone can live their lives free from discrimination, harassment, and bigotry. https://t.co/6AHPJkUNZo"
