handle,text
MarioDB,"The American people will not be fooled. House Democratic Leadership’s legislation DOES ABSOLUTELY NOTHING to put more baby formula on store shelves, or hold the FDA accountable. Instead, all it does is wastefully increase big government socialist bureaucracy. https://t.co/nmNKs8Z44p"
MarioDB,"Hoy se cumple un año desde que la dictadura asesina cubana encarceló al valiente activista prodemocracia @MaykelOsorbo349. No me cansaré de demandar su libertad al igual que la de @jdanielferrer, @LMOAlcantara y todos los presos políticos en #Cuba. #SOSCuba"
MarioDB,Las concesiones anunciadas por la Admin Biden al régimen de La Habana tienen solamente un propósito: Ayudar a la dictadura cubana. #SOSCuba https://t.co/fsbFsVbFBU
MarioDB,"Apparently, the Biden Administration is not finished with appeasing the world’s most ruthless dictators. I am appalled that the Biden Administration now is going out of its way to help #Maduro and his cronies. https://t.co/xhkUdKj4wZ"
MarioDB,"Aparentemente, la Administración Biden no ha terminado de apaciguar a los dictadores más despiadados del mundo. Estoy horrorizado de que la Administración Biden esté ahora haciendo todo lo posible para ayudar a #Maduro y sus compinches. #SOSVenezuela https://t.co/6A51Jwsins"
MarioDB,"Heartbroken by the passing of a dear friend, mentor, and pillar of our community, Gus Machado. My prayers go out to his wife, Lilliam, and his family. May he rest in eternal peace.
https://t.co/Ou84Uh41CT"
MarioDB,"Las concesiones unilaterales del presidente Biden son una traición a la causa de la libertad de #Cuba. 
Lean mi declaración junto a @RepMcCaul, @RepMarkGreen, @RepMariaSalazar, @RepCarlos, @SenatorRisch, @SenRubioPress, @SenTedCruz, @SenRickScott, y @SenBillCassidy. #SOSCuba https://t.co/UUrfkfPpIP"
MarioDB,"POTUS' unilateral concessions are a betrayal of #Cuba's democratic opposition. 
Read my joint statement with @RepMcCaul, @RepMarkGreen, @RepMariaSalazar, @RepCarlos, @SenatorRisch, @SenRubioPress, @SenTedCruz, @SenRickScott, and @SenBillCassidy. #SOSCuba https://t.co/oqbOVX35XK"
MarioDB,"I'm outraged that the Biden Admin has decided to weaken sanctions and prop up the oppressive #Cuban regime. While hundreds of political prisoners, including children, languish in Cuban prisons, the Biden Administration is looking for ways to keep their oppressors in power."
MarioDB,"Me indigna que la Admin Biden haya decidido debilitar las sanciones y apoyar a la brutal dictadura #cubana. Mientras cientos de presos políticos, incluidos menores de edad, languidecen en las cárceles cubanas, la Admin Biden busca formas de mantener a sus opresores en el poder."
MarioDB,"On #NationalPoliceWeek, I thank our nation’s brave law enforcement heroes who put their lives on the line to protect us &amp; our communities. This week &amp; every day, I'm immensely grateful for their dedication, &amp; I honor all those who paid the ultimate sacrifice in the line of duty. https://t.co/HZLTZhA8y3"
MarioDB,"Fue un honor unirme a colegas en el congreso para la segunda sesión del Foro Transatlántico Parlamentario por una Cuba libre. Le agradezco a @RosaMariaPaya, @CUBADECIDE por su compromiso con la causa de la libertad de #Cuba. https://t.co/xc2ioO1YyC https://t.co/RAhPRu1rBg"
