handle,text
RepJayapal,"This is an important step from @POTUS, but his leadership cannot be a substitute for Congressional action.

It's time to pass legislation to invest in renewable energy and move us away from fossil fuel reliance.
https://t.co/7qRiaBPdS5"
RepJayapal,"Just a friendly reminder, that if you're paying an arm and a leg at the pump, Democrats voted recently to stop Big Oil from price-gouging.

Every single Republican voted against this measure. https://t.co/cDyrm5Oihi"
RepJayapal,"Shooting prairie dogs is more important than saving lives. Noted.
https://t.co/Ds8X0oT9cH"
RepJayapal,"It's time to cancel student loan debt and lift this crushing weight off of millions of borrowers.
https://t.co/dG1oEHgSWT"
RepJayapal,"This is what happens when a President tries to sabotage free and fair elections.

The Big Lie still poses a major threat. This is why we must hold everyone involved accountable. https://t.co/BjYHrFLOzO"
RepJayapal,"We cannot and we will not.

Enough is enough.
https://t.co/eSQ81oK40e"
RepJayapal,🏳️‍🌈🏳️‍⚧️ This #Pride month would be a great time for the Senate to end the filibuster and pass the Equality Act. 🏳️‍⚧️🏳️‍🌈
RepJayapal,"January 6th was a deadly attack fueled by a coordinated campaign of lies about the election.

Everyone involved must be held accountable.
https://t.co/TrXtBK2Dq5"
RepJayapal,"This step from @POTUS is a critical move towards energy independence, lowering energy costs, and reducing our carbon footprint.

Now it's time for Congress to follow his lead and pass legislation to invest in climate action.
https://t.co/qeAAjT5v5l"
RepJayapal,"""The average CEO made $10.6 million a year. The average low-wage worker took home just under $24,000.""

Tax the rich.
https://t.co/WkL3J3duma"
RepJayapal,"57 years ago today, the Supreme Court ensured access to birth control citing the due process clause of the 14th Amendment.

That's the same rationale used in Roe v. Wade. If Roe is overturned, not only are abortion rights at stake, dozens of other settled precedents could be too."
RepJayapal,Important guide from @NormEisen as the Jan. 6 committee hearings begin this week to show the horrific truths of the Jan. 6 insurrection and attempted coup by Trump and allies to steal the election. https://t.co/Udvhespn55
RepJayapal,"Medicare Advantage plans regularly deny needed care to seniors and frequently create fake illnesses to defraud the government.

This is a clear cut example of why we must end Medicare privatization programs. Our seniors deserve better.
https://t.co/ObObuyT5wO"
RepJayapal,"This is a great step from @POTUS  that will not only lower our carbon footprint, but will lower energy prices for families across the country!

This is what climate action and energy independence looks like. Let's keep it up.
https://t.co/Q0kvJESL1i"
RepJayapal,"Canceling student loan debt will lift a crushing weight off of millions of borrowers. 

It's time to get this done!"
RepJayapal,"We have the power to stop this.

The House has passed multiple common sense gun safety reforms. It's time for the Senate to step up, do it's job, and save lives.
https://t.co/s7dAJf227A"
RepJayapal,"44% of Republicans say that we just “have to accept” mass shootings as a reality.

I don't think they get to call themselves ""pro-life"" anymore."
