handle,text
RepTenney,I support H.R. 4828 the Border Security for America Act to build the wall invest in critical infrastructure and support federal law enforcement. 
RepTenney,ICYMI: I unveiled a plan to secure the border where I highlighted legislation I support in Congress to prioritize America First and uphold the rule of law. Read the full plan at the link below. 
RepTenney,Congratulations to @MVCC_UticaRome &amp; @BinghamtonU on their recent Upward Bound grants! As we grapple with the long-term impacts of COVID lockdowns these projects are more important now than ever before to invest in our children's future. Read more below!
RepTenney,Older New Yorkers are struggling to keep up with soaring prices which are a direct result of Biden’s policies.  Here’s a message I recently received from a Chenango County resident who’s having a difficult time keeping up with rising prices. 
RepTenney,It’s been a week since the Senate primary in Pennsylvania and we still don’t know who won. Election officials in PA should be clear about how many ballots are outstanding and from where. Transparency is key to election integrity! #ElectionIntegrityCaucus
RepTenney,The Iranian people are the longest suffering victims of the Islamic Republic’s brutality and they have had enough! It’s time for President Biden to stand with a majority of Iranians who oppose this repressive clerical regime. 
RepTenney,Biden the MLB and other Democrat activists lied to you claiming Georgia’s new election integrity law would suppress voter turnout.  It's no wonder that they’re silent as early voting turnout is now 3x higher than it was for the same election in 2018!
RepTenney,57% of small business owners are expecting economic conditions in the US to worsen over the next year.  President Biden’s out-of-control spending continues to have devastating impacts on our small business community.
RepTenney,Today I’m highlighting my Border Security Plan to secure the border prioritize America First and uphold the rule of law. Read more at the link below! (2/2)
RepTenney,President Biden’s lax immigration policies have created a crisis at the Southern Border. New Yorkers are paying the price with flights of illegal immigrants arriving in the dead of night and deadly drugs like fentanyl flooding our streets. (1/2)
RepTenney,I've heard from many seniors who are juggling record gas prices ($4.93 in NY) high grocery bills &amp; many more costs.   The Biden Price Hike is NOT sustainable. Congress should take up my resolution creating a Select Committee on Older Americans to provide immediate relief!
RepTenney,The Biden Admin expected up to 18000 daily border crossings 3x the current average following the end of Title 42.Yet they STILL tried to terminate it today WITHOUT a plan to secure the border.We should build the wall &amp; invest in proven technologies. #BidenBorderCrisis
RepTenney,The days of squandering your taxpayer dollars on failed institutions abroad are over. The #WHO bowed to China and lacks transparency and accountability. This organization &amp; others must be reformed. I will always defend the sanctity of America’s sovereignty and our Constitution.
RepTenney,I joined with my friend @RepStefanik to introduce the HALT our Adversaries Act to ensure US taxpayer dollars do not help our adversaries like Russia and China modernize or increase their military capabilities.
RepTenney,Federal retirement funds should not be invested in risky Chinese companies.I joined my colleagues in calling on the Dept of Labor to stop investing your money in Chinese companies that pose a threat to US national security or engage in human rights abuses. 
RepTenney,On National Armed Forces Day I want to sincerely thank all the brave men and women who honorably defend our Nation! 
RepTenney,My weekly newsletter is out! Click the link below to read more about my work in Washington and across #NY22 on behalf of our communities. 
RepTenney,🚨BREAKING: Judge Rules Title 42 to Remain in Place. This is a positive step!Biden’s plan to remove Title 42 without a plan in place to secure the border would have been a disaster.
RepTenney,The Biden Admin is totally out of touch with the needs of the American people.It’s no wonder that his approval rating just hit 39% and only 20% say the US is heading in the right direction according to a new AP poll.
RepTenney,Last year US households spent an average of $2800 a year on gasoline.This year households will spend nearly DOUBLE THAT - $5000! The root cause? President Biden’s policies hamstring domestic energy production like canceling oil and gas lease sales.
RepTenney,Biden’s economic illiteracy is dangerous. His inflationary policies are wiping out Americans’ hard-earned gains and making it harder to make ends meet. Raising taxes will only hurt American workers and do nothing to solve the inflation crisis. 
RepTenney,It’s a privilege to announce the projects I submitted this year to the House Appropriations Committee for consideration as part of the Fiscal Year 2023 Community Project Funding process! Visit my website at  to find detailed information about each project. 
RepTenney,I was honored to join with my colleagues today to introduce the Women’s Bill of Rights Resolution which rejects woke ideologies and protects the rights of women. (2/2)
RepTenney,Women have fought long and hard to secure the freedoms that are rightly theirs. Redefining gender to fit woke ideological viewpoints is quite the hypocritical stance for the “party of science.” Here’s a quick refresher: XX chromosomes = women. It’s as simple as that. (1/2) 
RepTenney,I supported the Access to Baby Formula Act to expand access to formula for families participating in the WIC program. This includes nearly 50% of ALL families with an infant.If you live in #NY22 and need help tracking down formula call my office at 202-225-3665 for assistance. 
RepTenney,Today Democrats are bringing up a bill to INCREASE costly government controls over our energy sector.It’s the totally WRONG approach. We don’t need MORE government to drive down costs. What we need is MORE domestic energy production and Joe Biden continues to block it.
